Last name,First name,Birth year,Death year,Genre,Nationality,Gender
Schubert,Franz Peter,1797,1828,Classical,Austrian,Male
Schumann,Clara Josephine,1819,1896,Romantic,German,Female
Schumann,Robert,1810,1856,Romantic,German,Male
Schütz,Heinrich,1585,1672,Baroque,German,Male
Seixas,Carlos,1704,1742,Baroque,Portuguese,Male
Shore,Howard,1946,Still living,Film music,Canadian,Male
Shostakovich,Dmitry,1906,1975,Modern,Russian,Male
Sibelius,Jean,1865,1957,Romantic,Finnish,Male
Sinding,Christian,1856,1941,Romantic,Norwegian,Male
Skalkottas,Nikos,1904,1949,Modern,Greek,Male
Smetana,Bedřich,1824,1884,Romantic,Czech,Male
Smith,Hale,1925,Still living,Modern,American,Male
Smith,Robert,1959,Still living,Post-punk,United Kingdom,Male
Snider,Sarah Kirkland,1973,Still living,Modern,American,Female
Somervell,Arthur,1863,1937,Romantic,English,Male
Sor,Fernando,1778,1839,Classical,Spanish,Male
Sowande,"Olufela Obafunmilayo ""Fela""",1905,1987,Modern,Nigerian,Male
Spohr,Ludwig,1784,1859,Romantic,German,Male
Stamitz,Anton Thadäus Johann Nepomuk,1750,1798-1809,Classical,German,Male
Stamitz,Carl Philipp,1745,1801,Classical,German,Male
Stamitz,Johann Wenzel Anton,1717,1757,Classical,Bohemian (Czech Republic),Male
Starzer,Josef,1726,1787,Baroque,Austrian,Male
Steibelt,Daniel Gottlieb,1765,1823,Romantic,German,Male
Strauss,Richard Georg,1864,1949,Late Romantic,German,Male
Strauss I,Johann Baptist,1804,1849,Romantic,Austrian,Male
Strauss II,Johann Baptist,1825,1899,Romantic,Austrian,Male
Stravinsky,Igor,1882,1971,Modern,Russian,Male
Suk,Josef,1874,1935,Romantic,Czech,Male
Sullivan,Arthur Seymour,1842,1900,Romantic,English,Male
Sweelinck,Jan Pieterszoon,1562,1621,Renaissance,Dutch,Male
Szymanowski,Karol Maciej,1882,1937,Modern,Polish,Male
Talbot,Joby,1971,Still living,Modern,English,Male
Tallis,Thomas,Unknown,1585,Renaissance,English,Male
Taneyev,Sergei,1856,1915,Romantic,Russian,Male
Tartini,Giuseppe,1692,1770,Baroque,Italian,Male
Taverner,John,1480,1545,Renaissance,English,Male
Tavener,John,1944,2013,Classical,British,Male
Tchaikovsky,Pyotr Ilyich,1840,1893,Romantic,Russian,Male
Telemann,Georg Philipp,1681,1767,Baroque,German,Male
Thalberg,Sigismond,1812,1871,Romantic,Swiss,Male
Tippett,Michael Kemp,1905,1998,Modern,English,Male
Turina,Joaquín,1882,1949,Modern,Spanish,Male
Uccellini,Marco,1603,1680,Baroque,Italian,Male
Vaughan Williams,Ralph,1872,1958,Modern,English,Male
Venables,Philip,1978,Still living,Modern,English,Male
Verdi,Giuseppe Fortunino Francesco,1813,1901,Romantic,Italian,Male
Vierne,Louis,1870,1937,Romantic,French,Male
Villa-Lobos,Heitor,1887,1959,Modern,Brazilian,Male
Vivaldi,Antonio,1678,1741,Baroque,Italian,Male
Wagenseil,Georg Christoph,1715,1777,Baroque,Austrian,Male
Wagner,Wilhelm Richard,1813,1883,Romantic,German,Male
Walton,William,1902,1983,Modern,English,Male
Wanhal,Johann Baptist,1739,1813,Classical,Czech,Male
Warlock,Peter,1894,1930,Romantic,English,Male
Weber,Carl Maria von,1786,1826,Romantic,German,Male
Webern,Anton Friedrich Wilhelm,1883,1945,Modern,Austrian,Male
Weill,Kurt Julian,1900,1950,Modern,German-American,Male
Weir,Judith,1954,Still living,Modern,British,Female
White,Clarence Cameron,1880,1960,Neoromantic,American,Male
Wilson,Olly,1937,2018,Modern,American,Male
Wranitzky,Paul,1756,1808,Classical,Moravian (Czech Republic),Male
Ysaÿe,Eugène,1858,1931,Romantic,Belgian,Male
Zelenka,Jan Dismas,1679,1745,Baroque,Czech,Male
Zemlinsky,Alexander von,1871,1942,Modern,Austrian,Male
Zimmermann,Anton,1741,1781,Classical,Silesian,Male
